xaxis	yaxis	Freq	Prop
B intermediate	B intermediate	3	0.214285714285714
B memory	B intermediate	5	0.128205128205128
B naive	B intermediate	0	0
CD14 Mono	B intermediate	0	0
CD16 Mono	B intermediate	0	0
CD4 CTL	B intermediate	0	0
CD4 Naive	B intermediate	0	0
CD4 TCM	B intermediate	0	0
CD4 TEM	B intermediate	0	0
CD8 Naive	B intermediate	0	0
CD8 TCM	B intermediate	0	0
CD8 TEM	B intermediate	0	0
MAIT	B intermediate	0	0
NK	B intermediate	0	0
Platelet	B intermediate	0	0
Treg	B intermediate	0	0
cDC1	B intermediate	0	0
cDC2	B intermediate	0	0
dnT	B intermediate	0	0
gdT	B intermediate	0	0
pDC	B intermediate	0	0
B intermediate	B memory	0	0
B memory	B memory	8	0.205128205128205
B naive	B memory	1	0.0147058823529412
CD14 Mono	B memory	0	0
CD16 Mono	B memory	0	0
CD4 CTL	B memory	0	0
CD4 Naive	B memory	0	0
CD4 TCM	B memory	0	0
CD4 TEM	B memory	0	0
CD8 Naive	B memory	0	0
CD8 TCM	B memory	0	0
CD8 TEM	B memory	0	0
MAIT	B memory	0	0
NK	B memory	0	0
Platelet	B memory	0	0
Treg	B memory	0	0
cDC1	B memory	0	0
cDC2	B memory	0	0
dnT	B memory	0	0
gdT	B memory	0	0
pDC	B memory	0	0
B intermediate	B naive	3	0.214285714285714
B memory	B naive	1	0.0256410256410256
B naive	B naive	46	0.676470588235294
CD14 Mono	B naive	0	0
CD16 Mono	B naive	0	0
CD4 CTL	B naive	0	0
CD4 Naive	B naive	0	0
CD4 TCM	B naive	0	0
CD4 TEM	B naive	0	0
CD8 Naive	B naive	0	0
CD8 TCM	B naive	0	0
CD8 TEM	B naive	0	0
MAIT	B naive	0	0
NK	B naive	0	0
Platelet	B naive	0	0
Treg	B naive	0	0
cDC1	B naive	0	0
cDC2	B naive	0	0
dnT	B naive	0	0
gdT	B naive	0	0
pDC	B naive	0	0
B intermediate	CD14 Mono	0	0
B memory	CD14 Mono	0	0
B naive	CD14 Mono	5	0.0735294117647059
CD14 Mono	CD14 Mono	36	0.5625
